-1.922,1.631,4.288,1.4465,3.1952
-2.124,1.495,3.894,1.937,2.4487
-2.38,1.301,3.437,2.4264,1.8327
-2.543,1.167,3.052,2.2977,2.1939
-2.57,1.146,2.783,1.8609,2.956
-2.532,1.223,2.587,1.3563,3.8082
-2.453,1.342,2.383,0.73719,4.8417
-2.325,1.544,2.157,0.097976,5.8257
-2.172,1.748,1.884,-0.52598,6.7661
-2.035,1.792,1.731,-1.1562,7.64
-1.92,1.761,1.635,-1.524,8.107
-1.844,1.692,1.55,-1.6048,8.2633
-1.734,1.565,1.526,-1.6738,8.3373
-1.623,1.418,1.505,-1.6066,8.4088
-1.5,1.274,1.47,-1.5259,8.5518
-1.361,1.159,1.394,-1.4366,8.6502
-1.179,1.017,1.322,-1.2749,8.7518
-1.014,0.885,1.194,-1.1046,8.9217
-0.722,0.684,1.152,-0.9331,9.0193
-0.471,0.498,1.146,-0.77071,9.0218
-0.244,0.332,1.096,-0.67788,8.858
-0.054,0.205,1.034,-0.59549,8.6787
0.08,0.103,0.883,-0.52461,8.4897
0.122,0.049,0.666,-0.52272,8.3112
0.148,-0.013,0.492,-0.59222,8.0744
0.172,-0.01,0.353,-0.67433,7.8574
0.212,-0.001,0.267,-0.83345,7.765
0.221,-0.064,0.223,-1.0077,7.6725
0.21,-0.188,0.233,-1.1186,7.5902
0.213,-0.327,0.272,-1.2115,7.5105
0.214,-0.452,0.314,-1.2128,7.4352
0.211,-0.524,0.347,-1.1211,7.365
0.187,-0.523,0.364,-1.0117,7.2796
0.155,-0.456,0.38,-0.83821,7.1223
0.11,-0.343,0.348,-0.67914,6.9522
0.091,-0.24,0.294,-0.59617,6.7679
0.069,-0.136,0.186,-0.5956,6.5258
0,0,0,-0.74573,6.0811
-0.089,0.082,-0.226,-0.98634,5.734
-0.168,0.112,-0.47,-1.1803,5.3842
-0.232,0.187,-0.751,-1.3703,5.0362
-0.257,0.274,-1.02,-1.5437,4.6931
-0.318,0.329,-1.33,-1.6921,4.3773
-0.344,0.398,-1.648,-1.754,4.1523
-0.342,0.483,-1.955,-1.7429,4.1294
-0.348,0.605,-2.298,-1.7421,4.0477
-0.293,0.736,-2.59,-1.8232,4.045
-0.233,0.869,-2.854,-1.9135,4.1906
-0.158,1.012,-3.107,-2.005,4.3599
-0.028,1.154,-3.304,-2.0941,4.5416
0.116,1.271,-3.53,-2.1062,4.7254
0.337,1.393,-3.713,-2.025,4.9618
0.611,1.575,-3.863,-1.2969,5.193
0.968,1.819,-4.063,0.16266,5.8355
1.506,2.146,-4.346,1.5855,6.8468
2.277,2.51,-4.836,2.8456,7.6986
3.748,3.001,-4.621,3.8217,8.42
5.094,3.392,-4.625,4.4916,8.9363
6.064,3.739,-4.451,4.889,9.1192
6.569,4.015,-4.344,4.4986,9.1287
6.755,4.31,-4.666,3.3837,8.4716
6.983,4.574,-5.37,2.4985,7.2975
7.169,4.771,-6.448,2.125,6.3236
7.392,4.94,-7.746,2.6465,5.5518
7.582,5.035,-9.05,3.3255,4.6647
7.575,5.079,-10.258,3.7016,3.8996
